epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,488.405,0.97304,2.2824,1.02701,0.68645,0.57563,0.63788,0.43673,0.99907,1.51582,1.05024,0.000474522,0.000474522,0.000474522
2,544.753,0.93453,1.45327,1.01302,0.65563,0.84535,0.86115,0.63611,0.89581,1.02525,0.97682,0.000932029,0.000932029,0.000932029
3,601.518,0.93934,1.16829,1.01732,0.90698,0.90175,0.9564,0.7414,0.86283,0.75793,0.99585,0.00137067,0.00137067,0.00137067
4,655.865,0.92776,0.99255,1.01492,0.94131,0.86856,0.93739,0.70021,0.86942,0.66556,0.96974,0.00134412,0.00134412,0.00134412
5,709.464,0.90001,0.87414,1.00055,0.88437,0.87987,0.92423,0.72516,0.82436,0.67403,0.94449,0.00131582,0.00131582,0.00131582
6,763.251,0.85728,0.78602,0.98612,0.90357,0.95995,0.97832,0.78584,0.7751,0.60304,0.92394,0.00128753,0.00128753,0.00128753
7,817.033,0.83914,0.76993,0.97334,0.93281,0.95776,0.9804,0.79729,0.78452,0.54773,0.92512,0.00125923,0.00125923,0.00125923
8,870.651,0.82654,0.73725,0.96937,0.94474,0.96896,0.98713,0.80016,0.77324,0.51632,0.9276,0.00123094,0.00123094,0.00123094
9,924.112,0.82327,0.68525,0.96504,0.94268,0.95517,0.98401,0.80921,0.76058,0.53048,0.91491,0.00120265,0.00120265,0.00120265
10,976.516,0.81366,0.6594,0.96801,0.94946,0.94362,0.9773,0.79928,0.75344,0.50638,0.92513,0.00117435,0.00117435,0.00117435
11,1029.03,0.79826,0.63197,0.95687,0.93773,0.96501,0.98595,0.8198,0.72514,0.45715,0.90181,0.00114606,0.00114606,0.00114606
12,1080.15,0.77964,0.62752,0.95276,0.97062,0.91008,0.98077,0.79156,0.75999,0.49653,0.91779,0.00111776,0.00111776,0.00111776
13,1130.96,0.77469,0.60889,0.95324,0.93747,0.97493,0.9842,0.8066,0.76174,0.48223,0.91943,0.00108947,0.00108947,0.00108947
14,1181.49,0.7791,0.59859,0.9518,0.96171,0.93977,0.98381,0.80639,0.75976,0.43963,0.91303,0.00106118,0.00106118,0.00106118
15,1231.88,0.76132,0.58538,0.94307,0.96726,0.95956,0.9875,0.81518,0.70956,0.43709,0.91156,0.00103288,0.00103288,0.00103288
16,1282.03,0.74262,0.56417,0.94004,0.96745,0.95954,0.98911,0.79798,0.75822,0.45178,0.91343,0.00100459,0.00100459,0.00100459
17,1332.49,0.73689,0.54569,0.93796,0.97142,0.96143,0.98814,0.81335,0.72464,0.40802,0.90986,0.000976293,0.000976293,0.000976293
18,1382.97,0.71474,0.53614,0.92483,0.96318,0.95773,0.97963,0.8173,0.71265,0.42526,0.89625,0.000947999,0.000947999,0.000947999
19,1433.37,0.71839,0.52507,0.93307,0.96135,0.95352,0.98026,0.81597,0.74633,0.42031,0.90537,0.000919704,0.000919704,0.000919704
20,1483.11,0.71002,0.51786,0.9201,0.97421,0.96668,0.99209,0.82955,0.73907,0.39203,0.90323,0.00089141,0.00089141,0.00089141
21,1532.77,0.71612,0.53099,0.92033,0.95633,0.97093,0.9891,0.81707,0.73228,0.41303,0.89907,0.000863116,0.000863116,0.000863116
22,1582.63,0.71995,0.51271,0.9317,0.94747,0.96738,0.98457,0.81796,0.72896,0.40355,0.90131,0.000834822,0.000834822,0.000834822
23,1636.66,0.70291,0.50584,0.92527,0.98355,0.94543,0.98515,0.82445,0.72153,0.39869,0.90784,0.000806528,0.000806528,0.000806528
24,1687.02,0.69135,0.48476,0.92387,0.97379,0.96473,0.98995,0.82997,0.71508,0.38519,0.89806,0.000778233,0.000778233,0.000778233
25,1736.9,0.69109,0.48517,0.91869,0.98265,0.97617,0.99288,0.82894,0.71417,0.3902,0.90105,0.000749939,0.000749939,0.000749939
26,1787.24,0.68022,0.46298,0.91989,0.96387,0.97022,0.98907,0.82349,0.714,0.38682,0.90609,0.000721645,0.000721645,0.000721645
27,1838.23,0.6813,0.47643,0.91846,0.99167,0.92981,0.98663,0.83642,0.728,0.37543,0.90313,0.000693351,0.000693351,0.000693351
28,1889.76,0.65925,0.45955,0.90907,0.9569,0.94367,0.98275,0.82858,0.68759,0.37691,0.89501,0.000665057,0.000665057,0.000665057
29,1940.96,0.66899,0.45133,0.91831,0.95793,0.98715,0.99127,0.82859,0.72839,0.37167,0.90696,0.000636762,0.000636762,0.000636762
30,1992,0.66091,0.44994,0.9153,0.97924,0.97826,0.99233,0.84051,0.6994,0.3586,0.90101,0.000608468,0.000608468,0.000608468
31,2043.77,0.67414,0.45473,0.90678,0.94573,0.93444,0.98121,0.82426,0.68636,0.37385,0.8979,0.000580174,0.000580174,0.000580174
